date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:52	248/248	---M--	200	added ('OK')	text/plain	etag:W/%22f8-4NkmhnOEBgww9P1jv6/U0f6WgIE%22	https://www.blitz.com.br/robots.txt		(from )
01:31:53	640544/640544	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2004:31:52%20GMT	https://www.blitz.com.br/historia/	D:/quemsomos-blitz/quem-somos-blitz/www.blitz.com.br/historia/index.html	(from )
01:31:54	1982/1982	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Apr%202021%2010:52:31%20GMT	https://static.wixstatic.com/media/c2b3bf_6f0b6a1d6ce54aca8246a6fe999b4b71~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/c2b3bf_6f0b6a1d6ce54aca8246a6fe999b4b71~mv2.png	D:/quemsomos-blitz/quem-somos-blitz/static.wixstatic.com/media/c2b3bf_6f0b6a1d6ce54aca8246a6fe999b4b71_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/c2b3bf_6f0b6a1d6ce54aca8246a6fe999b4b71_mv2.png	(from https://www.blitz.com.br/historia/)
01:31:55	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2004:31:54%20GMT	https://www.blitz.com.br/historia/sitemap.xml	D:/quemsomos-blitz/quem-somos-blitz/www.blitz.com.br/historia/sitemap.xml	(from https://www.blitz.com.br/historia/)
01:31:55	2865/2865	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2004:31:55%20GMT	https://www.blitz.com.br/historia/feed.xml	D:/quemsomos-blitz/quem-somos-blitz/www.blitz.com.br/historia/feed.xml	(from https://www.blitz.com.br/historia/)
01:31:55	638834/638834	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2004:31:54%20GMT	https://www.blitz.com.br/historia/robots.txt	D:/quemsomos-blitz/quem-somos-blitz/www.blitz.com.br/historia/robots.html	(from https://www.blitz.com.br/historia/)
01:31:56	541672/541672	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe46edc-843e8%22	https://wix.elfsight.com/a/whatsapp-chat/app.js	D:/quemsomos-blitz/quem-somos-blitz/wix.elfsight.com/a/whatsapp-chat/app.js	(from https://www.blitz.com.br/historia/)
01:31:56	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	D:/quemsomos-blitz/quem-somos-blitz/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://www.blitz.com.br/historia/)
01:31:57	638643/638643	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2004:31:55%20GMT	https://www.blitz.com.br/historia/POST	D:/quemsomos-blitz/quem-somos-blitz/www.blitz.com.br/historia/POST.html	(from https://www.blitz.com.br/historia/)
01:31:57	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/quemsomos-blitz/quem-somos-blitz/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.blitz.com.br/historia/)
01:31:58	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	D:/quemsomos-blitz/quem-somos-blitz/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://www.blitz.com.br/historia/)
01:31:58	113551/113551	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fb06cadbf497c26972af94e2f529397%22	https://static.parastorage.com/services/wix-bolt/1.7146.0/bolt-main/app/bolt-custom-elements.min.js	D:/quemsomos-blitz/quem-somos-blitz/static.parastorage.com/services/wix-bolt/1.7146.0/bolt-main/app/bolt-custom-elements.min.js	(from https://www.blitz.com.br/historia/)
01:31:59	17493/17493	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	D:/quemsomos-blitz/quem-somos-blitz/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://www.blitz.com.br/historia/)
